"","SAMPLE_ID","FQCbasicStats","perBaseQual","perTileQual","perSeqQual","perBaseContent","GCcontent","Ncontent","SeqLengthDist","SeqDuplication","OverrepSeqs","AdapterContent","KmerContent","SeqLength_R1","percentGC_R1","phred18-19_R1","phred44-45_R1","phred70-71_R1","phred92_R1","phredGT30_R1","phredGT35_R1","Adapter44-45_R1","Adapter62-63_R1","Adapter80_R1","SeqLength_R2","percentGC_R2","phred18-19_R2","phred44-45_R2","phred70-71_R2","phred92_R2","phredGT30_R2","phredGT35_R2","Adapter44-45_R2","Adapter62-63_R2","Adapter80_R2","bamFile","trimmed","numReads","numMapped","numUnmapped","overallMapRate","concordMapRate","totalMapped","mitoMapped","mitoRate","totalAssignedGene","gene_Assigned","gene_Unassigned_Ambiguity","gene_Unassigned_MultiMapping","gene_Unassigned_NoFeatures","gene_Unassigned_Unmapped","gene_Unassigned_MappingQuality","gene_Unassigned_FragmentLength","gene_Unassigned_Chimera","gene_Unassigned_Secondary","gene_Unassigned_Nonjunction","gene_Unassigned_Duplicate","rRNA_rate"
"SRR4047316","SRR4047316","PASS","PASS","PASS","PASS","FAIL","WARN","PASS","PASS","WARN","WARN","PASS","FAIL","100","43","41.0","41.0","37.5","35.0",0.965751233951066,0.917965911155523,0,0,0,"100","44","41.0","40.0","37.5","35.0",0.930145500242248,0.848711353863857,0,0,0,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/yeo_singleCell/pairedend_n180/HISAT2_out/SRR4047316_accepted_hits.sorted.bam",FALSE,2113536,1922330,191206,0.9095,0.8726,1918832,42478,0.0216579734973054,0.602645214232441,612484,30303,38230,335309,0,0,0,0,0,0,0,0.000275925575198699
"SRR4047317","SRR4047317","PASS","WARN/PASS","WARN/PASS","PASS","FAIL","WARN","FAIL/PASS","PASS","WARN/FAIL","PASS/WARN","PASS","FAIL","100","45","41.0","41.0","37.0","35.0",0.9586841747129,0.886485418075973,0,0,0,"100","45","41.0","40.0","37.0","35.0",0.917158480187796,0.825988491588531,0,0,2.49250876490707e-05,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/yeo_singleCell/pairedend_n180/HISAT2_out/SRR4047317_accepted_hits.sorted.bam",FALSE,8024044,7257702,766342,0.9045,0.8678,7305191,149901,0.020107196530908,0.602710219478294,2326362,153568,181112,1198793,0,0,0,0,0,0,0,2.70809100217421e-05
"SRR4047318","SRR4047318","PASS","WARN/PASS","WARN/PASS","PASS","FAIL","WARN","FAIL/PASS","PASS","WARN/FAIL","WARN","PASS","FAIL","100","44","41.0","41.0","37.0","35.0",0.948798253809457,0.87675356279644,0,0,0,"100","44","41.0","40.0","37.0","35.0",0.905240225218894,0.814459538042205,2.7559825491185e-05,2.7559825491185e-05,2.7559825491185e-05,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/yeo_singleCell/pairedend_n180/HISAT2_out/SRR4047318_accepted_hits.sorted.bam",FALSE,7256940,6592303,664637,0.9084,0.8524,6466303,293770,0.0434566313115258,0.598388189955525,2136557,128999,162201,1142763,0,0,0,0,0,0,0,3.74434194828409e-06
"SRR4047319","SRR4047319","PASS","WARN/PASS","WARN/PASS","PASS","FAIL","PASS","FAIL/PASS","PASS","WARN","PASS/WARN","PASS","FAIL","100","46","41.0","41.0","37.0","35.0",0.954545912446407,0.875518298088392,0,0,0,"100","47","41.0","40.0","36.5","35.0",0.904189903613681,0.805034291286548,0,0,5.03691047999742e-05,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/yeo_singleCell/pairedend_n180/HISAT2_out/SRR4047319_accepted_hits.sorted.bam",FALSE,3970688,3537017,433671,0.8908,0.8515,3464197,176651,0.0485191911334942,0.605694273148256,1145254,72025,95368,578165,0,0,0,0,0,0,0,8.73168746845678e-06
"SRR4047320","SRR4047320","PASS","WARN/PASS","WARN/PASS","PASS","FAIL","PASS","FAIL/PASS","PASS","FAIL","WARN","PASS","FAIL","100","45","41.0","40.0","36.5","35.0",0.942805114912954,0.856343107413985,0,0,0,"100","45","41.0","40.0","36.5","35.0",0.910551145741044,0.815514434769408,0,0,0,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/yeo_singleCell/pairedend_n180/HISAT2_out/SRR4047320_accepted_hits.sorted.bam",FALSE,8853484,7574598,1278886,0.8555,0.811,7526391,244403,0.0314514835935684,0.730212360438799,2966920,173796,184567,737809,0,0,0,0,0,0,0,0.000101452010839524
"SRR4047321","SRR4047321","PASS","WARN/PASS","WARN/PASS","PASS","FAIL","WARN","FAIL/PASS","PASS","WARN/FAIL","PASS/WARN","PASS","FAIL","100","44","41.0","41.0","37.0","35.0",0.954528488603113,0.884358039731232,0,0,0,"100","44","41.0","40.0","37.0","35.0",0.909657828245439,0.819688907222402,0,0,0,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/yeo_singleCell/pairedend_n180/HISAT2_out/SRR4047321_accepted_hits.sorted.bam",FALSE,5808428,5337659,470769,0.919,0.8753,5277561,169290,0.0310803434865393,0.620947934667779,1763915,100198,108123,868445,0,0,0,0,0,0,0,0
"SRR4047322","SRR4047322","PASS","WARN/PASS","WARN/PASS","PASS","FAIL","WARN","FAIL/PASS","PASS","WARN/FAIL","PASS/WARN","PASS","FAIL","100","44","41.0","41.0","37.0","35.0",0.953137709920927,0.883425940110622,0.00113379910503699,0.00146339186812914,0.00192482173645815,"100","44","41.0","40.0","37.0","35.0",0.909027387576568,0.82077932076996,0.000975594578752763,0.00123926878922648,0.00168751494703181,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/yeo_singleCell/pairedend_n180/HISAT2_out/SRR4047322_accepted_hits.sorted.bam",FALSE,7585118,6982817,602301,0.9206,0.875,6957160,196102,0.0274143460703662,0.561870487022502,2097376,111755,160293,1363422,0,0,0,0,0,0,0,4.76786231939338e-07
"SRR4047323","SRR4047323","PASS","WARN/PASS","NA","PASS","FAIL","PASS/WARN","FAIL/PASS","PASS","FAIL","PASS/WARN","WARN","FAIL","100","44","41.0","41.0","37.0","35.0",0.949636836576755,0.87663672854582,1.86635649480707e-05,2.17741591060824e-05,2.17741591060824e-05,"100","44","41.0","40.0","37.0","35.0",0.905951185632514,0.81636971327694,4.04377240541531e-05,6.37671802392414e-05,7.77648539502944e-05,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/yeo_singleCell/pairedend_n180/HISAT2_out/SRR4047323_accepted_hits.sorted.bam",FALSE,64296398,53486997,10809401,0.8319,0.7808,53287262,1668206,0.0303555962802464,0.625754475067014,17932771,1138917,1423156,8162995,0,0,0,0,0,0,0,1.93500491362991e-05
"SRR4047324","SRR4047324","PASS","WARN/PASS","WARN/PASS","PASS","FAIL","PASS","FAIL/PASS","PASS","FAIL","PASS/WARN","PASS","FAIL","100","47","41.0","41.0","36.5","35.0",0.95813907000535,0.883921904672315,0,0,0,"100","47","41.0","40.0","36.5","35.0",0.918921456372327,0.826816937802419,0,0,0,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/yeo_singleCell/pairedend_n180/HISAT2_out/SRR4047324_accepted_hits.sorted.bam",FALSE,10885568,9394604,1490964,0.863,0.8256,9373259,318694,0.0328823303208342,0.71065609921285,3573908,264443,264777,925898,0,0,0,0,0,0,0,0
"SRR4047325","SRR4047325","PASS","WARN/PASS","WARN/PASS","PASS","FAIL","WARN","FAIL/PASS","PASS","WARN","PASS/WARN","PASS","FAIL","100","44","41.0","41.0","37.0","35.0",0.953912220557813,0.877647139590475,0,0,0,"100","44","41.0","40.0","37.0","35.0",0.891293701227712,0.789235461262964,0,0,0,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/yeo_singleCell/pairedend_n180/HISAT2_out/SRR4047325_accepted_hits.sorted.bam",FALSE,5010786,4547109,463677,0.9075,0.8626,4449842,184926,0.0398997317665091,0.651430407006284,1575717,75980,83286,683874,0,0,0,0,0,0,0,0
"SRR4047326","SRR4047326","PASS","WARN/PASS","WARN/PASS","PASS","FAIL","PASS/WARN","FAIL/PASS","PASS","WARN/FAIL","PASS/WARN","PASS","FAIL","100","44","41.0","41.0","37.0","35.0",0.961890716672262,0.899312982590763,3.99661087397887e-05,7.99322174795773e-05,7.99322174795773e-05,"100","44","41.0","40.0","37.0","35.0",0.926671382667498,0.841941233833709,3.99661087397887e-05,7.99322174795773e-05,0.000119898326219366,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/yeo_singleCell/pairedend_n180/HISAT2_out/SRR4047326_accepted_hits.sorted.bam",FALSE,5004240,4460324,543916,0.8913,0.8543,4337969,217252,0.047692965939523,0.549313823101883,1295438,72457,90322,900067,0,0,0,0,0,0,0,0
"SRR4047327","SRR4047327","PASS","WARN/PASS","WARN/PASS","PASS","FAIL","PASS","FAIL/PASS","PASS","WARN/FAIL","PASS/WARN","PASS","FAIL","100","45","41.0","41.0","37.0","35.0",0.960334869701208,0.888042506095947,0,0,0,"100","45","41.0","40.0","37.0","35.0",0.917663241237284,0.826290397860538,0,0,0,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/yeo_singleCell/pairedend_n180/HISAT2_out/SRR4047327_accepted_hits.sorted.bam",FALSE,5424916,4935309,489607,0.9097,0.8754,4864436,200682,0.039620399761664,0.560830854862263,1467055,80276,115802,952727,0,0,0,0,0,0,0,6.81637702744614e-07
"SRR4047328","SRR4047328","PASS","WARN/PASS","WARN/PASS","PASS","FAIL","PASS","FAIL/PASS","PASS","WARN","PASS/WARN","WARN","FAIL","100","46","41.0","41.0","36.0","35.0",0.940775549787501,0.860153598220143,0,0,0,"100","47","41.0","40.0","36.0","35.0",0.905563478707322,0.809434096808238,0,0,0,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/yeo_singleCell/pairedend_n180/HISAT2_out/SRR4047328_accepted_hits.sorted.bam",FALSE,2804720,2174231,630489,0.7752,0.7363,2157049,89024,0.0396353992056358,0.579514792535165,677826,38800,69004,384014,0,0,0,0,0,0,0,7.37652435875874e-06
"SRR4047329","SRR4047329","PASS","WARN/PASS","WARN/PASS","PASS","FAIL","PASS","FAIL/PASS","PASS","WARN/FAIL","PASS/WARN","PASS","FAIL","100","45","41.0","41.0","37.0","35.0",0.958804044479773,0.885523229190067,5.40012787502808e-05,5.40012787502808e-05,5.40012787502808e-05,"100","45","41.0","40.0","37.0","35.0",0.918124881197187,0.825173560109903,0,0,0,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/yeo_singleCell/pairedend_n180/HISAT2_out/SRR4047329_accepted_hits.sorted.bam",FALSE,3703616,3215404,488212,0.8682,0.8304,3059181,227193,0.069131815185977,0.722397781730963,1231249,75434,66609,331100,0,0,0,0,0,0,0,0
"SRR4047330","SRR4047330","PASS","WARN/PASS","WARN/PASS","PASS","FAIL","WARN","FAIL/PASS","PASS","WARN","PASS/WARN","PASS","FAIL","100","43","41.0","41.0","37.0","35.0",0.958522189654034,0.888559314993257,4.49078737424111e-05,4.49078737424111e-05,4.49078737424111e-05,"100","43","41.0","40.0","37.0","35.0",0.896937327918641,0.797337052902823,8.98157474848223e-05,0.000134723621227233,0.000179631494969645,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/yeo_singleCell/pairedend_n180/HISAT2_out/SRR4047330_accepted_hits.sorted.bam",FALSE,4453562,4079615,373947,0.916,0.8724,4048011,137808,0.0329225893427308,0.547120382886596,1194819,58841,101719,828453,0,0,0,0,0,0,0,6.8629641811856e-05
"SRR4047331","SRR4047331","PASS","PASS","NA","PASS","FAIL","WARN","WARN/PASS","WARN","FAIL","WARN","PASS","FAIL","32-100","43","38.0","39.0","39.0","38.0",0.932413967205757,0.874169707218201,9.10708327079803e-06,9.10708327079803e-06,9.10708327079803e-06,"32-100","44","38.0","39.0","39.0","38.0",0.892017495799813,0.811940005449679,2.73212498123941e-05,3.64283330831921e-05,3.64283330831921e-05,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/yeo_singleCell/pairedend_n180/HISAT2_out/SRR4047331_accepted_hits.sorted.bam",FALSE,21960928,18528268,3432660,0.8437,0.7105,18468147,975112,0.0501516746755264,0.618786308992043,6673632,458587,960768,2692048,0,0,0,0,0,0,0,1.16877885984723e-05
"SRR4047332","SRR4047332","PASS","WARN/PASS","WARN/PASS","PASS","FAIL","PASS","FAIL/PASS","PASS","FAIL","WARN","WARN","FAIL","100","43","41.0","40.0","36.0","35.0",0.918246865326861,0.83023830183706,2.68504069850439e-05,3.58005426467252e-05,3.58005426467252e-05,"100","43","41.0","40.0","36.0","35.0",0.872572622519526,0.771543491170467,3.58005426467252e-05,3.58005426467252e-05,3.58005426467252e-05,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/yeo_singleCell/pairedend_n180/HISAT2_out/SRR4047332_accepted_hits.sorted.bam",FALSE,22346030,17922095,4423935,0.802,0.6881,17889699,850974,0.0454078676897036,0.674209568243853,6967519,472358,860530,2033945,0,0,0,0,0,0,0,5.88444753433755e-06
"SRR4047333","SRR4047333","PASS","FAIL/PASS","FAIL","PASS","FAIL","PASS","PASS","PASS","PASS/WARN","PASS","PASS","FAIL","100","47","40.0","38.5","33.0","34.0",0.673632728435329,0.236137734162206,3.90690878214491e-05,0.000195345439107245,0.000221391497654878,"100","46","41.0","40.0","36.0","34.0",0.881584590109921,0.749677582352754,0,0,0,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/yeo_singleCell/pairedend_n180/HISAT2_out/SRR4047333_accepted_hits.sorted.bam",FALSE,15357410,11949886,3407524,0.7781,0.6164,11520305,678240,0.0556000736153369,0.697625542814509,5096945,348586,306775,1553827,0,0,0,0,0,0,0,2.15815552257284e-06
"SRR4047334","SRR4047334","PASS","FAIL/PASS","FAIL/WARN","PASS","FAIL","PASS/WARN","PASS","PASS","FAIL","WARN","PASS","FAIL","100","45","41.0","39.0","33.0","34.0",0.698933418029824,0.257422773292762,6.54934073712393e-05,0.000240142493694544,0.000261973629484957,"100","44","41.0","40.0","36.5","34.0",0.891254434527426,0.784704894191346,0,0,0,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/yeo_singleCell/pairedend_n180/HISAT2_out/SRR4047334_accepted_hits.sorted.bam",FALSE,32064296,21937388,10126908,0.6842,0.5316,21739216,602282,0.0269579953859853,0.527660404179091,7138954,551954,528160,5310380,0,0,0,0,0,0,0,0
"SRR4047335","SRR4047335","PASS","FAIL/PASS","FAIL/WARN","PASS","FAIL","PASS/WARN","PASS","PASS","PASS/WARN","PASS/WARN","PASS","FAIL","100","45","40.0","37.5","29.0","32.0",0.554513990548506,0.202516549028392,0.000184077241135567,0.000343933792648032,0.000455348964914297,"100","44","41.0","40.0","36.0","34.0",0.854684581709659,0.722910950987594,0.000164700689437086,0.000242206896231009,0.000290648275477211,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/yeo_singleCell/pairedend_n180/HISAT2_out/SRR4047335_accepted_hits.sorted.bam",FALSE,20643508,15059718,5583790,0.7295,0.5399,14621670,744369,0.0484424775962107,0.643646956054,6176805,422026,394763,2602979,0,0,0,0,0,0,0,1.61895996392957e-07
"SRR4047336","SRR4047336","PASS","FAIL/PASS","FAIL/WARN","PASS","FAIL","PASS/WARN","PASS","PASS","PASS/WARN","PASS","PASS","FAIL","100","45","41.0","39.5","33.5","34.0",0.712959127938517,0.269734757754746,7.93706752076568e-05,0.000264568917358856,0.00033071114669857,"100","44","41.0","40.0","37.0","34.0",0.900454754283602,0.791107362463518,0,0,0,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/yeo_singleCell/pairedend_n180/HISAT2_out/SRR4047336_accepted_hits.sorted.bam",FALSE,15118934,11736356,3382578,0.7763,0.6258,11556395,398566,0.0333389627954453,0.512096678066805,3630302,219550,267998,2971245,0,0,0,0,0,0,0,7.43739777021306e-06
"SRR4047337","SRR4047337","PASS","FAIL/PASS","FAIL/WARN","PASS","FAIL","PASS","PASS","PASS","WARN/FAIL","PASS/WARN","PASS","FAIL","100","46","41.0","39.0","33.0","34.0",0.698283974467492,0.253270872483985,5.3346838381841e-05,0.000248951912448591,0.000248951912448591,"100","46","41.0","40.0","36.0","34.0",0.896365942240311,0.780089572898099,0,0,0,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/yeo_singleCell/pairedend_n180/HISAT2_out/SRR4047337_accepted_hits.sorted.bam",FALSE,11247152,8077061,3170091,0.7181,0.573,7885867,371863,0.0450321093084903,0.783517566586599,3850040,272515,218159,573075,0,0,0,0,0,0,0,0
"SRR4047338","SRR4047338","PASS","FAIL/PASS","FAIL/PASS","PASS","FAIL","WARN","PASS","PASS","PASS/WARN","WARN","PASS","FAIL","100","44","40.0","39.0","35.0","34.0",0.764872556563819,0.64443092779827,3.04073859946013e-05,8.61542603180369e-05,0.000141901134641473,"100","44","41.0","40.0","37.0","34.0",0.902017570603923,0.796615739025164,6.08147719892025e-05,7.09505673207363e-05,0.000111493748646871,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/yeo_singleCell/pairedend_n180/HISAT2_out/SRR4047338_accepted_hits.sorted.bam",FALSE,19732048,16885137,2846911,0.8557,0.7674,16879285,402627,0.0232975957752823,0.509471854884914,4786726,293085,407588,3908068,0,0,0,0,0,0,0,2.73673487891306e-05
"SRR4047339","SRR4047339","PASS","FAIL/PASS","FAIL/PASS","PASS","FAIL","WARN","PASS","PASS","PASS/WARN","WARN","PASS/WARN","FAIL","100","44","40.0","39.0","35.0","34.0",0.753581337490244,0.626655694158555,7.0759940533346e-05,9.43465873777946e-05,0.000141519881066692,"100","44","41.0","40.0","37.0","35.0",0.907193148928211,0.808047622383445,0,0,2.35866468444487e-05,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/yeo_singleCell/pairedend_n180/HISAT2_out/SRR4047339_accepted_hits.sorted.bam",FALSE,8479374,7081278,1398096,0.8351,0.7488,7031135,210420,0.0290572950146757,0.476108043651633,1868586,121385,162293,1772446,0,0,0,0,0,0,0,8.50910795649759e-05
"SRR4047340","SRR4047340","PASS","PASS","FAIL/PASS","PASS","FAIL","WARN","PASS","PASS","WARN","WARN","PASS","FAIL","100","44","41.0","40.0","35.0","34.0",0.793945500349711,0.684293904151287,1.13285102578528e-05,9.0628082062822e-05,9.0628082062822e-05,"100","44","41.0","40.0","37.0","35.0",0.911278279643369,0.81649943142207,0,0,0,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/yeo_singleCell/pairedend_n180/HISAT2_out/SRR4047340_accepted_hits.sorted.bam",FALSE,8827286,7526820,1300466,0.8527,0.772,7526874,158627,0.0206397735163915,0.682137176753609,2825889,198465,160294,958051,0,0,0,0,0,0,0,5.66193505831262e-06
"SRR4047341","SRR4047341","PASS","PASS","FAIL/PASS","PASS","FAIL","WARN","PASS","PASS","WARN","WARN","PASS","FAIL","100","43","41.0","40.0","36.0","34.0",0.79518852362105,0.684291706311896,2.25203668567761e-05,4.50407337135522e-05,0.00011260183428388,"100","43","41.0","40.0","37.0","35.0",0.907791483923273,0.811506331038133,2.25203668567761e-05,2.25203668567761e-05,2.25203668567761e-05,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/yeo_singleCell/pairedend_n180/HISAT2_out/SRR4047341_accepted_hits.sorted.bam",FALSE,8880850,7551184,1329666,0.8503,0.7688,7531649,187080,0.0242371509609937,0.36915408016583,1539034,94519,165061,2370469,0,0,0,0,0,0,0,1.29951644992898e-06
"SRR4047342","SRR4047342","PASS","FAIL/PASS","FAIL/PASS","PASS","FAIL","WARN","PASS","PASS","PASS/WARN","WARN/PASS","PASS","FAIL","100","45","40.0","39.0","35.0","34.0",0.745668284082737,0.609643973032458,1.29711511222121e-05,3.89134533666363e-05,3.89134533666363e-05,"100","44","41.0","40.0","37.0","34.0",0.899557502150617,0.786319482565216,0,0,0,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/yeo_singleCell/pairedend_n180/HISAT2_out/SRR4047342_accepted_hits.sorted.bam",FALSE,15418832,13411958,2006874,0.8698,0.7843,12866384,835291,0.0609626925175207,0.616753563774372,4596351,298666,316556,2240919,0,0,0,0,0,0,0,5.4608536206221e-05
"SRR4047343","SRR4047343","PASS","FAIL/PASS","FAIL/PASS","PASS","FAIL","WARN","PASS","PASS","WARN","PASS/WARN","PASS","FAIL","100","43","40.0","39.0","35.0","34.0",0.751986985740997,0.637120583312588,1.9804996047913e-05,0.000138634972335391,0.000158439968383304,"100","43","41.0","40.0","37.0","34.0",0.89475605295143,0.783543276193939,0,0,2.97074940718696e-05,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/yeo_singleCell/pairedend_n180/HISAT2_out/SRR4047343_accepted_hits.sorted.bam",FALSE,10098462,8712398,1386064,0.8627,0.7766,8674390,241836,0.027123134833056,0.462667074611348,2241064,127444,204449,2270837,0,0,0,0,0,0,0,8.70122406142796e-05
"SRR4047344","SRR4047344","PASS","PASS","WARN/PASS","PASS","FAIL","PASS/WARN","PASS","PASS","FAIL","WARN","PASS","FAIL","100","45","41.0","40.0","36.0","34.0",0.918197853271228,0.80357309556988,0,0,0,"100","45","41.0","40.0","36.0","34.0",0.884555858597809,0.759389291522459,8.6960329089191e-06,1.30440493633786e-05,1.73920658178382e-05,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/yeo_singleCell/pairedend_n180/HISAT2_out/SRR4047344_accepted_hits.sorted.bam",FALSE,45997986,40376201,5621785,0.8778,0.8287,40441528,1085934,0.0261497801141808,0.65681755941399,14222445,900882,1099101,5431142,0,0,0,0,0,0,0,1.94059460240486e-05
"SRR4047345","SRR4047345","PASS","PASS","WARN/PASS","PASS","WARN/FAIL","PASS","PASS","PASS","FAIL","PASS/WARN","PASS","FAIL","100","48","41.0","40.0","35.0","34.5",0.927495546252104,0.811555101471849,2.88189196899419e-06,5.76378393798837e-06,8.64567590698256e-06,"100","48","41.0","40.0","35.5","34.0",0.901023091822237,0.772101971597398,0,0,0,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/yeo_singleCell/pairedend_n180/HISAT2_out/SRR4047345_accepted_hits.sorted.bam",FALSE,69398854,56745833,12653021,0.8177,0.7745,55447080,2660942,0.0457930232077079,0.792691624912636,23891571,1713871,1468939,3065424,0,0,0,0,0,0,0,6.27836486767655e-07
"SRR4047346","SRR4047346","PASS","PASS","WARN/PASS","PASS","FAIL","WARN","PASS","PASS","FAIL","WARN","PASS","FAIL","100","44","41.0","40.0","36.0","34.5",0.922765301986004,0.811168658870463,0.000278878295134199,0.000415381881699886,0.000584176639281112,"100","44","41.0","40.0","36.5","34.0",0.892954357104949,0.772264989921192,0.000224570416608066,0.000352267320169515,0.000482899784732376,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/yeo_singleCell/pairedend_n180/HISAT2_out/SRR4047346_accepted_hits.sorted.bam",FALSE,68130078,59120406,9009672,0.8678,0.8189,58517299,1822632,0.030206067023842,0.641145295315124,20115799,1155582,1235187,8868222,0,0,0,0,0,0,0,0
"SRR4047347","SRR4047347","PASS","PASS","WARN/PASS","PASS","FAIL","PASS","PASS","PASS","FAIL","WARN","PASS","FAIL","100","46","41.0","40.0","36.0","34.0",0.917623408620521,0.803714766343171,0,0,0,"100","46","41.0","40.0","36.0","34.0",0.886170533649358,0.761447563189269,0,1.64197276459775e-06,6.56789105839101e-06,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/yeo_singleCell/pairedend_n180/HISAT2_out/SRR4047347_accepted_hits.sorted.bam",FALSE,60902350,51749152,9153198,0.8497,0.7971,51974767,1430540,0.0267864764825713,0.646677763553578,18009492,1373105,1629060,6837595,0,0,0,0,0,0,0,7.71815218330423e-06
"SRR4047348","SRR4047348","PASS","PASS","NA","PASS","FAIL","PASS","PASS","PASS","FAIL","WARN","WARN","FAIL","100","45","41.0","40.0","36.5","35.0",0.931773532586857,0.808057079168525,5.96920902906537e-06,5.96920902906537e-06,5.96920902906537e-06,"100","45","40.0","40.0","36.0","34.0",0.877099517558578,0.726894579689587,0,1.98973634302179e-06,5.96920902906537e-06,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/yeo_singleCell/pairedend_n180/HISAT2_out/SRR4047348_accepted_hits.sorted.bam",FALSE,100515830,85954954,14560876,0.8551,0.8074,87366751,1521859,0.0171209674670354,0.753437496351851,34851261,2293066,2869967,6242046,0,0,0,0,0,0,0,5.05003247945605e-06
"SRR4047349","SRR4047349","PASS","PASS","NA","PASS","FAIL","WARN","PASS","PASS","FAIL","WARN","WARN","FAIL","100","43","41.0","40.0","37.0","35.0",0.920143407447911,0.79902855655881,1.67778929114074e-05,3.91484167932838e-05,6.92625835573483e-05,"100","44","40.0","40.0","37.0","34.0",0.871368197072063,0.729847040338391,4.90430715871907e-05,6.75417740279732e-05,8.51800717040681e-05,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/yeo_singleCell/pairedend_n180/HISAT2_out/SRR4047349_accepted_hits.sorted.bam",FALSE,232448736,197136497,35312239,0.8481,0.799,199870638,2454116,0.0121295884536205,0.577027347473348,60851457,3814897,5044980,35745465,0,0,0,0,0,0,0,1.90628138944972e-05
"SRR4047350","SRR4047350","PASS","PASS","NA","PASS","FAIL","WARN","PASS","PASS","FAIL","WARN","FAIL","FAIL","100","44","41.0","40.0","37.0","35.0",0.942379782635208,0.836459558906749,9.05860076776171e-05,0.000152594286742653,0.000191956063888284,"100","44","40.0","40.0","37.0","34.5",0.902676625649215,0.766177725455012,8.95076028243121e-05,0.000133722201809816,0.000187642444475064,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/yeo_singleCell/pairedend_n180/HISAT2_out/SRR4047350_accepted_hits.sorted.bam",TRUE,170354499,142659738,27694761,0.8374,0.8098,143831969,2676906,0.0182712890260061,0.642650371954286,50361646,3362633,3841044,20800221,0,0,0,0,0,0,0,1.46937214879752e-06
"SRR4047351","SRR4047351","PASS","PASS","NA","PASS","FAIL","WARN","PASS","PASS","FAIL","WARN","FAIL","FAIL","100","44","41.0","40.0","37.0","35.0",0.924435325744056,0.806576955301936,1.0488337409311e-06,1.0488337409311e-06,2.0976674818622e-06,"100","44","40.0","40.0","37.0","34.5",0.883976627117663,0.748388309631998,5.24416870465551e-06,9.43950366837992e-06,1.15371711502421e-05,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/yeo_singleCell/pairedend_n180/HISAT2_out/SRR4047351_accepted_hits.sorted.bam",TRUE,173448469,150354265,23094204,0.8669,0.8418,151418592,2870573,0.0186051496227878,0.671940983866793,55738276,3880713,3985106,19347053,0,0,0,0,0,0,0,6.02817353016085e-06
"SRR4047352","SRR4047352","PASS","PASS","NA","PASS","FAIL","WARN","PASS","PASS","FAIL","PASS","FAIL","FAIL","100","44","41.0","40.0","37.0","35.0",0.937059440688419,0.823259174785546,3.54979805198882e-05,5.69967574544684e-05,8.24953068419938e-05,"100","44","40.0","40.0","37.0","35.0",0.90247806802271,0.770373903428634,1.79989760382532e-05,3.09982365103249e-05,4.24975823125422e-05,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/yeo_singleCell/pairedend_n180/HISAT2_out/SRR4047352_accepted_hits.sorted.bam",TRUE,184534932,163207064,21327868,0.8844,0.8585,163234406,3987543,0.023845811054385,0.531457983297913,47461987,3003624,3978445,34861192,0,0,0,0,0,0,0,5.73722292747668e-05
