"","SAMPLE_ID","FQCbasicStats","perBaseQual","perTileQual","perSeqQual","perBaseContent","GCcontent","Ncontent","SeqLengthDist","SeqDuplication","OverrepSeqs","AdapterContent","KmerContent","SeqLength_R1","percentGC_R1","phred20-21_R1","phred48-49_R1","phred76-77_R1","phred100_R1","phredGT30_R1","phredGT35_R1","Adapter50-51_R1","Adapter70-71_R1","Adapter88_R1","SeqLength_R2","percentGC_R2","phred20-21_R2","phred48-49_R2","phred76-77_R2","phred100_R2","phredGT30_R2","phredGT35_R2","Adapter50-51_R2","Adapter70-71_R2","Adapter88_R2","ERCCsumLogErr","bamFile","trimmed","numReads","numMapped","numUnmapped","overallMapRate","concordMapRate","totalMapped","mitoMapped","mitoRate","totalAssignedGene","gene_Assigned","gene_Unassigned_Ambiguity","gene_Unassigned_MultiMapping","gene_Unassigned_NoFeatures","gene_Unassigned_Unmapped","gene_Unassigned_MappingQuality","gene_Unassigned_FragmentLength","gene_Unassigned_Chimera","gene_Unassigned_Secondary","gene_Unassigned_Nonjunction","gene_Unassigned_Duplicate","rRNA_rate"
"C165","C165","PASS","PASS","FAIL/WARN","PASS","FAIL","FAIL","PASS","PASS","FAIL","FAIL","FAIL","FAIL","101","46","40.0","40.0","33.0","35.0",0.93499988775185,0.856838947185998,0,0,0,"101","46","40.0","40.0","37.0","35.0",0.910856201567744,0.79324401548098,0,0,0,-199.17594646063,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/otherData/Bardy/HISAT2_out/C165_accepted_hits.sorted.bam",TRUE,14325660,5093318,9232342,0.3555,0.3522,4361911,902565,0.171444413461093,0.795534566430533,2226461,160377,173055,238805,0,0,0,0,0,0,0,0
"C166","C166","PASS","PASS","FAIL/WARN","PASS","FAIL","WARN","PASS","PASS","FAIL","WARN","FAIL","FAIL","101","45","40.0","40.0","35.0","35.0",0.95248179951157,0.904959015524098,0,0,0,"101","45","40.0","40.0","37.0","35.0",0.932243519385376,0.861250875261779,1.06593000954327e-05,1.06593000954327e-05,1.06593000954327e-05,-180.045827084351,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/otherData/Bardy/HISAT2_out/C166_accepted_hits.sorted.bam",TRUE,16836790,7060059,9776731,0.4193,0.4006,6077207,1165473,0.160917367604257,0.658166953326729,2555813,195645,179495,952276,0,0,0,0,0,0,0,0
"C167","C167","PASS","PASS","FAIL/WARN","PASS","FAIL","FAIL","PASS","PASS","FAIL","FAIL","FAIL","FAIL","101","47","40.0","40.0","33.0","33.0",0.90625241823803,0.782023440220109,0,0,0,"101","47","40.0","40.0","37.0","30.0",0.870102436432081,0.716993557473566,0,0,0,-206.141397574435,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/otherData/Bardy/HISAT2_out/C167_accepted_hits.sorted.bam",TRUE,14614369,1888134,12726235,0.1292,0.1296,1505265,439058,0.225815360925114,0.732636399005233,768307,55461,58814,166106,0,0,0,0,0,0,0,0
"C168","C168","PASS","PASS","FAIL/WARN","PASS","FAIL","WARN","PASS","PASS","FAIL","WARN","FAIL","FAIL","101","45","40.0","40.0","35.0","35.0",0.951501032336027,0.907877926698669,1.33497481837e-05,1.33497481837e-05,1.33497481837e-05,"101","45","40.0","40.0","37.0","35.0",0.9363485341576,0.875682872993967,0,0,0,-197.727973424368,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/otherData/Bardy/HISAT2_out/C168_accepted_hits.sorted.bam",TRUE,13803020,7093311,6709709,0.5139,0.4967,6139019,1179014,0.161110779358333,0.671642084347741,4921632,403601,404986,1597541,0,0,0,0,0,0,0,0
"C169","C169","PASS","PASS","FAIL/WARN","PASS","FAIL","FAIL","PASS","PASS","FAIL","FAIL","FAIL","FAIL","101","46","40.0","40.0","33.0","35.0",0.943337076812813,0.864477368670442,0,0,0,"101","46","40.0","40.0","37.0","30.0",0.914521272515482,0.759123816785628,0,0,0,-156.414294967922,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/otherData/Bardy/HISAT2_out/C169_accepted_hits.sorted.bam",TRUE,16270112,1714082,14556030,0.1054,0.107,1264999,487939,0.278354967488867,0.714991210992013,1255240,109679,68427,322256,0,0,0,0,0,0,0,1.59332079920971e-06
"C172","C172","PASS","PASS","FAIL/WARN","PASS","FAIL","FAIL","PASS","PASS","FAIL","FAIL","PASS","FAIL","101","45","40.0","40.0","33.0","35.0",0.948287860478864,0.88669177957806,0,0,0,"101","45","40.0","40.0","37.0","35.0",0.914071551157789,0.791727693274073,0,0,0,-155.454019524649,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/otherData/Bardy/HISAT2_out/C172_accepted_hits.sorted.bam",FALSE,15407214,5492960,9914254,0.3565,0.3314,4717931,930207,0.164692682792099,0.51988683978118,1566457,91795,163171,1191650,0,0,0,0,0,0,0,1.08525162197239e-05
"C174","C174","PASS","PASS","FAIL/WARN","PASS","FAIL","FAIL","PASS","PASS","FAIL","WARN","WARN","FAIL","101","45","40.0","40.0","35.0","35.0",0.949271929573145,0.905864871923605,1.07346228406367e-05,1.07346228406367e-05,1.07346228406367e-05,"101","45","40.0","40.0","37.0","35.0",0.936039145305036,0.876968877430037,0,0,0,-168.783701423605,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/otherData/Bardy/HISAT2_out/C174_accepted_hits.sorted.bam",FALSE,18631302,6936804,11694498,0.3723,0.3458,5882522,1235124,0.173529843996175,0.681731084342465,2569107,192908,176773,829717,0,0,0,0,0,0,0,4.9822759425746e-05
"C175","C175","PASS","PASS","FAIL/WARN","PASS","FAIL","FAIL","PASS","PASS","FAIL","FAIL","FAIL","FAIL","101","46","40.0","40.0","33.0","35.0",0.956232369201087,0.889024136182013,0,0,0,"101","46","40.0","40.0","37.0","33.0",0.931992762787869,0.807880752134064,0,0,0,-180.935288242156,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/otherData/Bardy/HISAT2_out/C175_accepted_hits.sorted.bam",TRUE,23007215,3927095,19080120,0.1707,0.1713,3462576,574337,0.142271334556876,0.739441470450311,1594170,122485,107744,331512,0,0,0,0,0,0,0,7.90379946931632e-05
"C176","C176","PASS","PASS","WARN","PASS","FAIL","FAIL","PASS","PASS","FAIL","WARN","PASS","FAIL","101","44","40.0","40.0","33.0","35.0",0.943651279123745,0.879551967342719,0.00019191828607898,0.000267522459382821,0.000337310927047905,"101","44","40.0","40.0","37.0","35.0",0.947289700885464,0.900131307001912,0.000104682701497626,0.00011631411277514,0.000133761229691411,-131.046541751164,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/otherData/Bardy/HISAT2_out/C176_accepted_hits.sorted.bam",FALSE,17194818,3921646,13273172,0.2281,0.2128,3515204,500501,0.124635898304283,0.559326510182656,1192351,81971,93235,764205,0,0,0,0,0,0,0,4.19339607212977e-06
"C179","C179","PASS","PASS","FAIL/WARN","PASS","FAIL","FAIL","PASS","PASS","FAIL","FAIL","WARN","FAIL","101","45","40.0","40.0","33.0","35.0",0.950901526505787,0.897894969632149,0,0,0,"101","45","40.0","40.0","37.0","35.0",0.9339842734485,0.84652893975109,0,0,0,-139.328579733884,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/otherData/Bardy/HISAT2_out/C179_accepted_hits.sorted.bam",FALSE,18340448,4127117,14213331,0.225,0.2098,3757535,487800,0.114902593081582,0.635609083032954,1426200,104652,111989,600991,0,0,0,0,0,0,0,7.01163932127331e-07
"C188","C188","PASS","PASS","WARN","PASS","FAIL","WARN","PASS","PASS","FAIL","WARN","PASS","FAIL","92","44","40.0","39.0","33.5",NA,0.844507303591478,0.708670197502041,0.000136515728562155,0.00016716211660672,NA,"92","45","40.0","39.0","35.0",NA,0.824803403420694,0.690009221776766,7.80089877498029e-05,0.000117013481624704,NA,-182.853323331128,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/otherData/Bardy/HISAT2_out/C188_accepted_hits.sorted.bam",FALSE,35893300,21647757,14245543,0.6031,0.5614,17750723,4319958,0.195732882007583,0.726010773977784,8533845,569769,432260,2218559,0,0,0,0,0,0,0,3.51541421246812e-07
"C189","C189","PASS","PASS","FAIL/WARN","PASS","FAIL","FAIL","PASS","PASS","FAIL","WARN","PASS","FAIL","101","45","40.0","40.0","35.0","35.0",0.951463755003144,0.906741115734472,0,0,0,"101","45","40.0","40.0","37.0","35.0",0.941125994199454,0.885068392074116,0,0,0,-178.417546278907,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/otherData/Bardy/HISAT2_out/C189_accepted_hits.sorted.bam",FALSE,14737234,3872421,10864813,0.2628,0.2476,1842804,2152007,0.538700579326531,0.848111419996404,1778309,95103,133405,89970,0,0,0,0,0,0,0,0
"C191","C191","PASS","PASS","WARN/PASS","PASS","FAIL","FAIL","PASS","PASS","FAIL","FAIL","PASS","FAIL","92","45","40.0","39.0","33.0",NA,0.823255377802761,0.679939755543582,6.39212040760506e-06,1.27842408152101e-05,NA,"92","45","40.0","39.0","35.0",NA,0.816891638409766,0.67339006936793,6.39212040760506e-06,6.39212040760506e-06,NA,-183.933589590328,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/otherData/Bardy/HISAT2_out/C191_accepted_hits.sorted.bam",FALSE,31288522,14208289,17080233,0.4541,0.4225,12981097,1652065,0.112898702276377,0.702976111013007,5481710,421832,425818,1468501,0,0,0,0,0,0,0,2.18909792747154e-06
"C192","C192","PASS","PASS","FAIL/WARN","PASS","FAIL","FAIL","PASS","PASS","FAIL","WARN","PASS","FAIL","101","45","40.0","40.0","35.0","35.0",0.949028666084624,0.907155843392034,1.42750854649367e-05,1.42750854649367e-05,1.42750854649367e-05,"101","45","40.0","40.0","37.0","35.0",0.9382802404838,0.884756521287293,0,0,0,-200.830578320057,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/otherData/Bardy/HISAT2_out/C192_accepted_hits.sorted.bam",FALSE,14010424,4402555,9607869,0.3142,0.2948,3208191,1288856,0.286600518073305,0.73772739611588,1752903,105908,88681,428593,0,0,0,0,0,0,0,1.19801266812824e-05
"C194","C194","PASS","PASS","WARN","PASS","FAIL","WARN","PASS","PASS","FAIL","WARN","PASS","FAIL","92","46","40.0","39.5","33.5",NA,0.848725558880936,0.720403386699712,6.51283396265762e-06,6.51283396265762e-06,NA,"92","46","40.0","39.0","35.0",NA,0.823170175336562,0.691702434608053,0,0,NA,-174.409942026482,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/otherData/Bardy/HISAT2_out/C194_accepted_hits.sorted.bam",FALSE,30708598,19903463,10805135,0.6481,0.6087,18735224,1626090,0.0798617417323852,0.625525717396041,6729801,367016,439717,3222098,0,0,0,0,0,0,0,5.42363734083668e-05
"C195","C195","PASS","PASS","WARN/PASS","PASS","FAIL","WARN","PASS","PASS","FAIL","WARN","PASS","FAIL","92","46","40.0","39.0","33.0",NA,0.828742620239633,0.68826507116652,1.18383964181748e-05,1.18383964181748e-05,NA,"92","47","40.0","39.0","35.0",NA,0.81335027802474,0.6735417759252,5.91919820908739e-06,5.91919820908739e-06,NA,-231.190119360427,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/otherData/Bardy/HISAT2_out/C195_accepted_hits.sorted.bam",FALSE,33788360,19394651,14393709,0.574,0.526,18788300,1122177,0.0563611308759705,0.804095789166531,8647341,649620,546059,911098,0,0,0,0,0,0,0,0
"C196","C196","PASS","PASS","WARN","PASS","FAIL","PASS","PASS","PASS","FAIL","WARN","PASS","FAIL","92","46","40.0","39.0","33.0",NA,0.840497392759328,0.702299832348629,0,0,NA,"92","46","40.0","39.0","35.0",NA,0.823811140106016,0.68800903752862,1.09561737710515e-05,1.09561737710515e-05,NA,-172.864057015729,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/otherData/Bardy/HISAT2_out/C196_accepted_hits.sorted.bam",FALSE,18254548,13552115,4702433,0.7424,0.6949,11500401,2287843,0.165927075267888,0.757145976997819,5536714,298941,235076,1241880,0,0,0,0,0,0,0,1.10173651736391e-05
