"","SAMPLE_ID","bamFile","trimmed","numReads","numMapped","numUnmapped","overallMapRate","concordMapRate","totalMapped","mitoMapped","mitoRate","totalAssignedGene","gene_Assigned","gene_Unassigned_Ambiguity","gene_Unassigned_MultiMapping","gene_Unassigned_NoFeatures","gene_Unassigned_Unmapped","gene_Unassigned_MappingQuality","gene_Unassigned_FragmentLength","gene_Unassigned_Chimera","gene_Unassigned_Secondary","gene_Unassigned_Nonjunction","gene_Unassigned_Duplicate","rRNA_rate"
"SRR4251638","SRR4251638","/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/allen_singleCell/HISAT2_out/SRR4251638_accepted_hits.sorted.bam",FALSE,6401912,4376053,2025859,0.6836,0.668,4397129,122428,0.0270884956202566,0.875722735718098,2013051,87940,129713,68027,0,0,0,0,0,0,0,0
"SRR4251639","SRR4251639","/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/allen_singleCell/HISAT2_out/SRR4251639_accepted_hits.sorted.bam",FALSE,7108876,6423986,684890,0.9037,0.8735,6456552,202363,0.0303897857233498,0.380878120892986,1304714,50917,217551,1852360,0,0,0,0,0,0,0,3.06580599273097e-05
"SRR4251640","SRR4251640","/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/allen_singleCell/HISAT2_out/SRR4251640_accepted_hits.sorted.bam",FALSE,5310708,4684739,625969,0.8821,0.8454,4675589,200264,0.0410726082185004,0.374994952434114,947226,42676,174691,1361377,0,0,0,0,0,0,0,5.278571323e-06
"SRR4251641","SRR4251641","/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/allen_singleCell/HISAT2_out/SRR4251641_accepted_hits.sorted.bam",FALSE,7886436,6058580,1827856,0.7682,0.7473,6205573,72592,0.0115626142352104,0.760788423480535,2439198,100760,199065,467122,0,0,0,0,0,0,0,4.5096790010487e-06
"SRR4251642","SRR4251642","/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/allen_singleCell/HISAT2_out/SRR4251642_accepted_hits.sorted.bam",FALSE,4694774,4008676,686098,0.8539,0.8144,3989982,190029,0.0454613636184211,0.414535918243147,903212,40846,166941,1067852,0,0,0,0,0,0,0,8.96799422505458e-05
"SRR4251643","SRR4251643","/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/allen_singleCell/HISAT2_out/SRR4251643_accepted_hits.sorted.bam",FALSE,3084816,2630042,454774,0.8526,0.823,2641272,94407,0.0345095312717611,0.435417905006178,613860,25880,97629,672449,0,0,0,0,0,0,0,6.51614374613104e-05
"SRR4251644","SRR4251644","/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/allen_singleCell/HISAT2_out/SRR4251644_accepted_hits.sorted.bam",FALSE,3103342,2644484,458858,0.8521,0.8043,2619332,142686,0.0516600543515647,0.427130540092343,620736,31431,117509,683594,0,0,0,0,0,0,0,9.66594494277761e-06
"SRR4251645","SRR4251645","/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/allen_singleCell/HISAT2_out/SRR4251645_accepted_hits.sorted.bam",FALSE,2832944,2368284,464660,0.836,0.7868,2430153,46781,0.0188866558414556,0.383446853690977,500193,24108,105299,674865,0,0,0,0,0,0,0,8.19683602129578e-05
"SRR4251646","SRR4251646","/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/allen_singleCell/HISAT2_out/SRR4251646_accepted_hits.sorted.bam",FALSE,2692266,2366117,326149,0.8789,0.8299,2335146,131320,0.0532421691602479,0.406222386174122,526372,24188,97010,648203,0,0,0,0,0,0,0,2.84969565250431e-05
"SRR4251647","SRR4251647","/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/allen_singleCell/HISAT2_out/SRR4251647_accepted_hits.sorted.bam",FALSE,1975496,1720185,255311,0.8708,0.8327,1721511,79220,0.0439932449655168,0.376946091788214,352765,13846,75195,494044,0,0,0,0,0,0,0,3.40169801425878e-05
"SRR4251648","SRR4251648","/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/allen_singleCell/HISAT2_out/SRR4251648_accepted_hits.sorted.bam",FALSE,3040172,2432088,608084,0.8,0.7737,2236989,287000,0.113708894927831,0.510805119216803,662432,22617,84416,527374,0,0,0,0,0,0,0,7.09506787111734e-05
"SRR4251649","SRR4251649","/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/allen_singleCell/HISAT2_out/SRR4251649_accepted_hits.sorted.bam",FALSE,2483258,2168102,315156,0.8731,0.8464,2095483,161687,0.0716326196077389,0.385199240986717,445585,13646,80332,617202,0,0,0,0,0,0,0,0
"SRR4251650","SRR4251650","/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/allen_singleCell/HISAT2_out/SRR4251650_accepted_hits.sorted.bam",FALSE,1355350,1201899,153451,0.8868,0.8508,1209639,41953,0.0335197092982378,0.346321402594113,224258,8615,44389,370281,0,0,0,0,0,0,0,5.79689464812849e-05
"SRR4251651","SRR4251651","/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/allen_singleCell/HISAT2_out/SRR4251651_accepted_hits.sorted.bam",FALSE,838854,648569,190285,0.7732,0.7428,664651,6291,0.00937636934340077,0.75497949619215,262905,11501,22007,51815,0,0,0,0,0,0,0,0
"SRR4251652","SRR4251652","/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/allen_singleCell/HISAT2_out/SRR4251652_accepted_hits.sorted.bam",FALSE,2559156,2275258,283898,0.8891,0.8535,2250992,109828,0.0465211240162316,0.357506665531179,436590,15805,79765,689048,0,0,0,0,0,0,0,4.35190911381388e-05
"SRR4251653","SRR4251653","/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/allen_singleCell/HISAT2_out/SRR4251653_accepted_hits.sorted.bam",FALSE,3908938,3397210,511728,0.8691,0.8354,3399899,138030,0.0390143499205326,0.377443388712346,690447,28662,127223,982941,0,0,0,0,0,0,0,1.44833709176809e-06
"SRR4251654","SRR4251654","/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/allen_singleCell/HISAT2_out/SRR4251654_accepted_hits.sorted.bam",FALSE,1704326,1492430,211896,0.8757,0.8353,1529144,31388,0.0201136535489179,0.376222434103282,305803,13392,63465,430165,0,0,0,0,0,0,0,8.50220566835512e-05
"SRR4251655","SRR4251655","/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/allen_singleCell/HISAT2_out/SRR4251655_accepted_hits.sorted.bam",FALSE,2333280,2044040,289240,0.876,0.8305,2023485,108902,0.0510704670399885,0.46724189144213,522240,25209,86314,483945,0,0,0,0,0,0,0,5.17003676470588e-05
"SRR4251656","SRR4251656","/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/allen_singleCell/HISAT2_out/SRR4251656_accepted_hits.sorted.bam",FALSE,2405110,2058916,346194,0.8561,0.8068,2040213,115666,0.0536514340554363,0.470430490544265,534871,24727,96773,480611,0,0,0,0,0,0,0,6.16971194923636e-05
"SRR4251657","SRR4251657","/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/allen_singleCell/HISAT2_out/SRR4251657_accepted_hits.sorted.bam",FALSE,2144372,1734334,410038,0.8088,0.7612,1713407,98122,0.0541652935172443,0.516928102599489,495931,24258,80065,359127,0,0,0,0,0,0,0,2.01640954084338e-06
"SRR4251658","SRR4251658","/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/allen_singleCell/HISAT2_out/SRR4251658_accepted_hits.sorted.bam",FALSE,1889774,1606954,282820,0.8503,0.8073,1633850,47239,0.0281002374056341,0.363870229285565,319807,14037,69530,475530,0,0,0,0,0,0,0,2.50150872244823e-05
"SRR4251659","SRR4251659","/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/allen_singleCell/HISAT2_out/SRR4251659_accepted_hits.sorted.bam",FALSE,2711680,2383053,328627,0.8788,0.8388,2405139,75881,0.0305845982700663,0.37087917409533,478660,19751,92312,699886,0,0,0,0,0,0,0,5.64074708561401e-05
"SRR4251660","SRR4251660","/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/allen_singleCell/HISAT2_out/SRR4251660_accepted_hits.sorted.bam",FALSE,4320958,3891135,429823,0.9005,0.8681,3939718,98246,0.0243305784796496,0.395403117278212,822979,31603,135736,1091049,0,0,0,0,0,0,0,3.4022739340858e-05
"SRR4251661","SRR4251661","/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/allen_singleCell/HISAT2_out/SRR4251661_accepted_hits.sorted.bam",FALSE,5430996,4694418,736578,0.8644,0.8337,4685720,192815,0.0395231355314659,0.393039829646347,986743,45038,165710,1313051,0,0,0,0,0,0,0,0
"SRR4251662","SRR4251662","/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/allen_singleCell/HISAT2_out/SRR4251662_accepted_hits.sorted.bam",FALSE,3659418,3067033,592385,0.8381,0.8039,3074716,110095,0.0345687703289143,0.454062755695634,749718,33046,113603,754766,0,0,0,0,0,0,0,0
"SRR4251663","SRR4251663","/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/allen_singleCell/HISAT2_out/SRR4251663_accepted_hits.sorted.bam",FALSE,4523024,3977874,545150,0.8795,0.8433,3967659,172051,0.0415611238468395,0.410207588828974,880077,34238,153953,1077175,0,0,0,0,0,0,0,5.56769464490039e-05
"SRR4251664","SRR4251664","/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/allen_singleCell/HISAT2_out/SRR4251664_accepted_hits.sorted.bam",FALSE,3696652,3175803,520849,0.8591,0.8261,3118735,183556,0.0555844412258035,0.437056272596145,746604,29822,118376,813454,0,0,0,0,0,0,0,6.69699064028588e-05
"SRR4251665","SRR4251665","/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/allen_singleCell/HISAT2_out/SRR4251665_accepted_hits.sorted.bam",FALSE,2200112,1916748,283364,0.8712,0.8313,1917092,84817,0.0423680596870287,0.410611654221563,427875,18816,80477,514875,0,0,0,0,0,0,0,8.4136722173532e-05
"SRR4251666","SRR4251666","/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/allen_singleCell/HISAT2_out/SRR4251666_accepted_hits.sorted.bam",FALSE,2128800,1723987,404813,0.8098,0.7666,1727926,76220,0.0422471352096782,0.491175945471922,467683,23314,84096,377077,0,0,0,0,0,0,0,0
"SRR4251667","SRR4251667","/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/allen_singleCell/HISAT2_out/SRR4251667_accepted_hits.sorted.bam",FALSE,2583826,2248045,335781,0.87,0.823,2278738,60736,0.025961391321297,0.406872738133312,499964,24961,91476,612396,0,0,0,0,0,0,0,6.80048963525374e-05
"SRR4251668","SRR4251668","/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/allen_singleCell/HISAT2_out/SRR4251668_accepted_hits.sorted.bam",FALSE,1213408,1016479,196929,0.8377,0.7886,1032559,29469,0.027747855988731,0.417571899844715,233411,10624,43760,271177,0,0,0,0,0,0,0,0.000231351564407847
"SRR4251669","SRR4251669","/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/allen_singleCell/HISAT2_out/SRR4251669_accepted_hits.sorted.bam",FALSE,1132438,955383,177055,0.8437,0.7995,934982,62105,0.0622864404008878,0.415380139011985,216995,10477,41133,253796,0,0,0,0,0,0,0,2.76504066913984e-05
"SRR4251670","SRR4251670","/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/allen_singleCell/HISAT2_out/SRR4251670_accepted_hits.sorted.bam",FALSE,1614970,1368213,246757,0.8472,0.8115,1352824,67494,0.0475203440356315,0.391260957408675,288159,10671,49713,387945,0,0,0,0,0,0,0,0
"SRR4251671","SRR4251671","/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/allen_singleCell/HISAT2_out/SRR4251671_accepted_hits.sorted.bam",FALSE,2989512,2720225,269287,0.9099,0.8785,2699473,129025,0.0456160831649872,0.382965995178472,557587,21834,98469,778080,0,0,0,0,0,0,0,0.000109399968076731
"SRR4251672","SRR4251672","/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/allen_singleCell/HISAT2_out/SRR4251672_accepted_hits.sorted.bam",FALSE,3100658,2738315,362343,0.8831,0.8511,2801830,43839,0.0154055162424021,0.357256669568875,523988,21422,95772,825517,0,0,0,0,0,0,0,3.43519317236273e-05
"SRR4251673","SRR4251673","/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/allen_singleCell/HISAT2_out/SRR4251673_accepted_hits.sorted.bam",FALSE,1193110,1073415,119695,0.8997,0.8552,1091393,31248,0.027834365571897,0.433722141611238,254375,9699,46799,275620,0,0,0,0,0,0,0,7.46928746928747e-05
"SRR4251674","SRR4251674","/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/allen_singleCell/HISAT2_out/SRR4251674_accepted_hits.sorted.bam",FALSE,2605870,2289876,315994,0.8787,0.8427,2357713,38121,0.015911369485532,0.387719394391692,481083,19444,96016,644259,0,0,0,0,0,0,0,0.000106010813102936
"SRR4251675","SRR4251675","/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/allen_singleCell/HISAT2_out/SRR4251675_accepted_hits.sorted.bam",FALSE,3603434,3013781,589653,0.8364,0.8059,3025312,111550,0.0355610160727504,0.538999898257113,874115,36063,118010,593547,0,0,0,0,0,0,0,4.23285265668705e-05
"SRR4251676","SRR4251676","/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/allen_singleCell/HISAT2_out/SRR4251676_accepted_hits.sorted.bam",FALSE,1618284,1401955,216329,0.8663,0.8275,1401411,63552,0.0433813004150958,0.387974442738878,295718,13030,59802,393660,0,0,0,0,0,0,0,2.70528003029914e-05
"SRR4251677","SRR4251677","/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/allen_singleCell/HISAT2_out/SRR4251677_accepted_hits.sorted.bam",FALSE,3204940,2803868,401072,0.8749,0.8285,2850277,71932,0.0246156246866668,0.403607771427379,618897,27131,118586,768798,0,0,0,0,0,0,0,0.00013734110845585
"SRR4251678","SRR4251678","/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/allen_singleCell/HISAT2_out/SRR4251678_accepted_hits.sorted.bam",FALSE,3863332,3306044,557288,0.8557,0.8092,3406796,37857,0.0109900765040775,0.357742629257931,646056,28443,133555,997870,0,0,0,0,0,0,0,0.000233725868964919
"SRR4251679","SRR4251679","/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/allen_singleCell/HISAT2_out/SRR4251679_accepted_hits.sorted.bam",FALSE,1796524,1573142,223382,0.8757,0.826,1583595,54890,0.0335004592657241,0.47951675859389,413389,20147,66612,361947,0,0,0,0,0,0,0,4.11234938520377e-05
"SRR4251680","SRR4251680","/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/allen_singleCell/HISAT2_out/SRR4251680_accepted_hits.sorted.bam",FALSE,2603832,2259722,344110,0.8678,0.8232,2223512,125293,0.0533432958461856,0.42537792208109,523137,25221,89549,591910,0,0,0,0,0,0,0,6.30809902568543e-05
"SRR4251681","SRR4251681","/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/allen_singleCell/HISAT2_out/SRR4251681_accepted_hits.sorted.bam",FALSE,1873022,1596631,276391,0.8524,0.811,1564289,112688,0.0671971052673948,0.461917586764744,404595,18649,77005,375654,0,0,0,0,0,0,0,1.97728592790321e-05
"SRR4251682","SRR4251682","/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/allen_singleCell/HISAT2_out/SRR4251682_accepted_hits.sorted.bam",FALSE,2088552,1822229,266323,0.8725,0.8385,1795439,93881,0.0496903647873309,0.406664816068654,397011,14453,63155,501642,0,0,0,0,0,0,0,3.02258627594701e-05
"SRR4251683","SRR4251683","/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/allen_singleCell/HISAT2_out/SRR4251683_accepted_hits.sorted.bam",FALSE,5445460,4785731,659729,0.8788,0.8437,4827965,146769,0.0295028839732938,0.442859298901908,1141457,58466,181572,1195976,0,0,0,0,0,0,0,1.75214659860161e-05
"SRR4251684","SRR4251684","/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/allen_singleCell/HISAT2_out/SRR4251684_accepted_hits.sorted.bam",FALSE,1775744,1557882,217862,0.8773,0.8403,1550807,69757,0.0430448905442796,0.396614156169726,333190,13613,59939,433344,0,0,0,0,0,0,0,3.00129055493862e-06
"SRR4251685","SRR4251685","/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/allen_singleCell/HISAT2_out/SRR4251685_accepted_hits.sorted.bam",FALSE,5348438,4741338,607100,0.8865,0.8556,4901937,60028,0.0120976266458953,0.354457743407138,904456,37661,194788,1414756,0,0,0,0,0,0,0,6.63382187746004e-06
"SRR4251686","SRR4251686","/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/allen_singleCell/HISAT2_out/SRR4251686_accepted_hits.sorted.bam",FALSE,3602154,3134519,467635,0.8702,0.8297,3156671,111178,0.0340217678356619,0.412491007659358,701832,35978,128844,834794,0,0,0,0,0,0,0,0.000108288023344618
"SRR4251687","SRR4251687","/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/allen_singleCell/HISAT2_out/SRR4251687_accepted_hits.sorted.bam",FALSE,2314398,2002420,311978,0.8652,0.8242,2018797,71531,0.0342199884420053,0.475049137516322,518433,27612,85316,459964,0,0,0,0,0,0,0,5.97955762846887e-05
"SRR4251688","SRR4251688","/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/allen_singleCell/HISAT2_out/SRR4251688_accepted_hits.sorted.bam",FALSE,1641158,1463867,177291,0.892,0.8403,1455019,74462,0.0486844883983521,0.457776568477263,368452,18174,63667,354580,0,0,0,0,0,0,0,2.71405773343611e-05
"SRR4251689","SRR4251689","/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/allen_singleCell/HISAT2_out/SRR4251689_accepted_hits.sorted.bam",FALSE,4263676,3737427,526249,0.8766,0.8281,3796352,103715,0.0265931328872042,0.406758260237063,832107,36838,158120,1018639,0,0,0,0,0,0,0,9.13344077143925e-05
"SRR4251690","SRR4251690","/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/allen_singleCell/HISAT2_out/SRR4251690_accepted_hits.sorted.bam",FALSE,2767648,2398996,368652,0.8668,0.8216,2312428,201216,0.0800495217302052,0.573564113223234,758854,35367,120354,408475,0,0,0,0,0,0,0,3.16266370079093e-05
"SRR4251691","SRR4251691","/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/allen_singleCell/HISAT2_out/SRR4251691_accepted_hits.sorted.bam",FALSE,1909526,1681853,227673,0.8808,0.8345,1692225,75709,0.0428234311914359,0.469924447052529,435635,20474,82295,388628,0,0,0,0,0,0,0,0.000197412971868652
"SRR4251692","SRR4251692","/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/allen_singleCell/HISAT2_out/SRR4251692_accepted_hits.sorted.bam",FALSE,2499872,2179936,319936,0.872,0.8213,2144971,125766,0.0553855422270391,0.36972261038457,441058,22059,89455,640371,0,0,0,0,0,0,0,6.12164386543266e-05
"SRR4251693","SRR4251693","/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/allen_singleCell/HISAT2_out/SRR4251693_accepted_hits.sorted.bam",FALSE,2793970,2464555,329415,0.8821,0.8454,2485921,71821,0.028079845426161,0.395409711941853,524320,21807,86925,692965,0,0,0,0,0,0,0,0.000108712236801953
"SRR4251694","SRR4251694","/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/allen_singleCell/HISAT2_out/SRR4251694_accepted_hits.sorted.bam",FALSE,4247880,3618338,629542,0.8518,0.8127,3662925,132852,0.034999948627119,0.448413477199109,886526,41345,166623,882534,0,0,0,0,0,0,0,2.70719640484317e-05
"SRR4251695","SRR4251695","/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/allen_singleCell/HISAT2_out/SRR4251695_accepted_hits.sorted.bam",FALSE,2958776,2571386,387390,0.8691,0.8278,2603818,87846,0.0326363171629148,0.441283218767017,619108,29020,113175,641669,0,0,0,0,0,0,0,9.85288511858997e-05
"SRR4251696","SRR4251696","/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/allen_singleCell/HISAT2_out/SRR4251696_accepted_hits.sorted.bam",FALSE,3408272,3093627,314645,0.9077,0.8634,3081148,137994,0.0428667017484783,0.54158899794562,910566,42618,121387,606715,0,0,0,0,0,0,0,0.000105428931016533
"SRR4251697","SRR4251697","/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/allen_singleCell/HISAT2_out/SRR4251697_accepted_hits.sorted.bam",FALSE,2754522,2406002,348520,0.8735,0.8283,2416950,104049,0.0412729239480063,0.453758430894346,598354,28791,111409,580108,0,0,0,0,0,0,0,5.01375439956949e-05
"SRR4251698","SRR4251698","/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/allen_singleCell/HISAT2_out/SRR4251698_accepted_hits.sorted.bam",FALSE,2540064,2243082,296982,0.8831,0.8375,2232609,111017,0.0473697595094098,0.4621708165316,566651,27188,98413,533812,0,0,0,0,0,0,0,6.00016588693923e-05
"SRR4251699","SRR4251699","/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/allen_singleCell/HISAT2_out/SRR4251699_accepted_hits.sorted.bam",FALSE,3648804,3152922,495882,0.8641,0.8206,3156366,142530,0.043205363248796,0.412486819474773,711574,33620,140508,839381,0,0,0,0,0,0,0,0.000126480169314787
"SRR4251700","SRR4251700","/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/allen_singleCell/HISAT2_out/SRR4251700_accepted_hits.sorted.bam",FALSE,3583504,3027205,556299,0.8448,0.7981,2961223,224092,0.0703515978796446,0.46035192976648,773127,41439,158253,706607,0,0,0,0,0,0,0,1.68148311984965e-05
"SRR4251701","SRR4251701","/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/allen_singleCell/HISAT2_out/SRR4251701_accepted_hits.sorted.bam",FALSE,557110,253477,303633,0.455,0.4198,231927,36084,0.134636264929425,0.520231848269712,75842,4422,17434,48087,0,0,0,0,0,0,0,0
"SRR4251702","SRR4251702","/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/allen_singleCell/HISAT2_out/SRR4251702_accepted_hits.sorted.bam",FALSE,1129116,858230,270886,0.7601,0.7159,801778,100795,0.111675177520267,0.535931772772729,257773,11973,49727,161508,0,0,0,0,0,0,0,6.59494982019063e-05
"SRR4251703","SRR4251703","/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/allen_singleCell/HISAT2_out/SRR4251703_accepted_hits.sorted.bam",FALSE,1952940,1552056,400884,0.7947,0.749,1519865,96428,0.059659975016906,0.369488865552635,314554,16207,66925,453636,0,0,0,0,0,0,0,5.72238788888394e-05
"SRR4251704","SRR4251704","/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/allen_singleCell/HISAT2_out/SRR4251704_accepted_hits.sorted.bam",FALSE,2393638,1964342,429296,0.8207,0.7807,1976367,59355,0.029156731616596,0.347494455927567,369020,18747,73107,601071,0,0,0,0,0,0,0,5.96173649124709e-05
"SRR4251705","SRR4251705","/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/allen_singleCell/HISAT2_out/SRR4251705_accepted_hits.sorted.bam",FALSE,2000434,1650720,349714,0.8252,0.782,1663460,46098,0.0269648646024294,0.31740424220348,283196,15451,57918,535660,0,0,0,0,0,0,0,0.000197742905973248
"SRR4251706","SRR4251706","/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/allen_singleCell/HISAT2_out/SRR4251706_accepted_hits.sorted.bam",FALSE,1710624,1421305,289319,0.8309,0.7856,1363913,119837,0.080766301600674,0.394932197976009,307869,15242,62895,393543,0,0,0,0,0,0,0,6.82108299309122e-05
"SRR4251707","SRR4251707","/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/allen_singleCell/HISAT2_out/SRR4251707_accepted_hits.sorted.bam",FALSE,1999618,1691861,307757,0.8461,0.7974,1710692,55564,0.0314586334030854,0.348434684077052,322877,17124,73139,513510,0,0,0,0,0,0,0,0.000102206103252942
"SRR4251708","SRR4251708","/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/allen_singleCell/HISAT2_out/SRR4251708_accepted_hits.sorted.bam",FALSE,1749414,1474786,274628,0.843,0.7938,1445604,96613,0.0626455291311145,0.446848952362639,362508,18947,66910,362889,0,0,0,0,0,0,0,6.3446875655158e-05
"SRR4251709","SRR4251709","/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/allen_singleCell/HISAT2_out/SRR4251709_accepted_hits.sorted.bam",FALSE,2561082,2179103,381979,0.8509,0.804,2146438,130111,0.0571527342481976,0.420052628411317,502514,25242,99622,568934,0,0,0,0,0,0,0,3.78098918637093e-05
"SRR4251710","SRR4251710","/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/allen_singleCell/HISAT2_out/SRR4251710_accepted_hits.sorted.bam",FALSE,557710,348847,208863,0.6255,0.5863,331883,36967,0.100222312593195,0.540374121170588,106451,6128,21914,62502,0,0,0,0,0,0,0,0
"SRR4251711","SRR4251711","/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/allen_singleCell/HISAT2_out/SRR4251711_accepted_hits.sorted.bam",FALSE,1528232,1206547,321685,0.7895,0.7542,1145645,103481,0.0828427236323638,0.485763484969081,317359,14252,46326,275383,0,0,0,0,0,0,0,9.76811749469843e-05
"SRR4251712","SRR4251712","/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/allen_singleCell/HISAT2_out/SRR4251712_accepted_hits.sorted.bam",FALSE,2786956,2381441,405515,0.8545,0.8185,2307373,171267,0.0690971661879095,0.390553176892589,503243,21522,100014,663760,0,0,0,0,0,0,0,5.36520130434005e-05
"SRR4251713","SRR4251713","/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/allen_singleCell/HISAT2_out/SRR4251713_accepted_hits.sorted.bam",FALSE,3099164,2197303,901861,0.709,0.6796,2127739,161011,0.0703488803932277,0.386168295308246,457426,19933,91284,615882,0,0,0,0,0,0,0,5.02813569845177e-05
"SRR4251714","SRR4251714","/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/allen_singleCell/HISAT2_out/SRR4251714_accepted_hits.sorted.bam",FALSE,3254416,2655570,598846,0.816,0.7843,2620361,154371,0.0556345621847443,0.348217713676122,499745,18422,117804,799180,0,0,0,0,0,0,0,0
"SRR4251715","SRR4251715","/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/allen_singleCell/HISAT2_out/SRR4251715_accepted_hits.sorted.bam",FALSE,5338364,4674297,664067,0.8756,0.8427,4680553,167538,0.0345575196505181,0.307814405848325,764651,33648,157713,1528118,0,0,0,0,0,0,0,4.44647296609826e-05
"SRR4251716","SRR4251716","/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/allen_singleCell/HISAT2_out/SRR4251716_accepted_hits.sorted.bam",FALSE,5490472,4769468,721004,0.8687,0.8353,4730545,235740,0.0474680772448621,0.396871721177469,1011070,41659,181405,1313465,0,0,0,0,0,0,0,1.78029216572542e-05
"SRR4251717","SRR4251717","/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/allen_singleCell/HISAT2_out/SRR4251717_accepted_hits.sorted.bam",FALSE,3208476,2767433,441043,0.8625,0.8197,2779832,117550,0.0405711086767295,0.414178505961618,627456,30654,128876,727955,0,0,0,0,0,0,0,7.0124439004488e-05
"SRR4251718","SRR4251718","/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/allen_singleCell/HISAT2_out/SRR4251718_accepted_hits.sorted.bam",FALSE,2948206,2503928,444278,0.8493,0.8143,2455983,139843,0.0538722549200139,0.394836792067519,529762,27944,88292,695726,0,0,0,0,0,0,0,0.000107595486274969
"SRR4251719","SRR4251719","/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/allen_singleCell/HISAT2_out/SRR4251719_accepted_hits.sorted.bam",FALSE,773774,390692,383082,0.5049,0.4732,275958,137351,0.332320370473423,0.80754015905023,178212,9301,25927,7245,0,0,0,0,0,0,0,0
